        245     267     266     1          
        266     288     287     1          
        287     309     308     1          
        308     330     329     1          
        329     351     350     1          
        350     372     371     1          
        371     393     392     1          
        392     414     413     1          
        413     435     434     1          
        14      15      36      1          
        35      36      57      1          
        56      57      78      1          
        77      78      99      1          
        98      99      120     1          
        119     120     141     1          
        140     141     162     1          
        161     162     183     1          
        182     183     204     1          
        203     204     225     1          
        224     225     246     1          
        245     246     267     1          
        266     267     288     1          
        287     288     309     1          
        308     309     330     1          
        329     330     351     1          
        350     351     372     1          
        371     372     393     1          
        392     393     414     1          
        413     414     435     1          
        15      37      36      1          
        36      58      57      1          
        57      79      78      1          
        78      100     99      1          
        99      121     120     1          
        120     142     141     1          
        141     163     162     1          
        162     184     183     1          
        183     205     204     1          
        204     226     225     1          
        225     247     246     1          
        246     268     267     1          
        267     289     288     1          
        288     310     309     1          
        309     331     330     1          
        330     352     351     1          
        351     373     372     1          
        372     394     393     1          
        393     415     414     1          
        414     436     435     1          
        15      16      37      1          
        36      37      58      1          
        57      58      79      1          
        78      79      100     1          
        99      100     121     1          
        120     121     142     1          
        141     142     163     1          
        162     163     184     1          
        183     184     205     1          
        204     205     226     1          
        225     226     247     1          
        246     247     268     1          
        267     268     289     1          
        288     289     310     1          
        309     310     331     1          
        330     331     352     1          
        351     352     373     1          
        372     373     394     1          
        393     394     415     1          
        414     415     436     1          
        16      38      37      1          
        37      59      58      1          
        58      80      79      1          
        79      101     100     1          
        100     122     121     1          
        121     143     142     1          
        142     164     163     1          
        163     185     184     1          
        184     206     205     1          
        205     227     226     1          
        226     248     247     1          
        247     269     268     1          
        268     290     289     1          
        289     311     310     1          
        310     332     331     1          
        331     353     352     1          
        352     374     373     1          
        373     395     394     1          
        394     416     415     1          
        415     437     436     1           
        16      17      38      1          
        37      38      59      1          
        58      59      80      1          
        79      80      101     1          
        100     101     122     1          
        121     122     143     1          
        142     143     164     1          
        163     164     185     1          
        184     185     206     1          
        205     206     227     1          
        226     227     248     1          
        247     248     269     1          
        268     269     290     1          
        289     290     311     1          
        310     311     332     1          
        331     332     353     1          
        352     353     374     1          
        373     374     395     1          
        394     395     416     1          
        415     416     437     1          
        17      39      38      1          
        38      60      59      1          
        59      81      80      1          
        80      102     101     1          
        101     123     122     1          
        122     144     143     1          
        143     165     164     1          
        164     186     185     1          
        185     207     206     1          
        206     228     227     1          
        227     249     248     1          
        248     270     269     1          
        269     291     290     1          
        290     312     311     1          
        311     333     332     1          
        332     354     353     1          
        353     375     374     1          
        374     396     395     1          
        395     417     416     1          
        416     438     437     1          
        17      18      39      1          
        38      39      60      1          
        59      60      81      1          
        80      81      102     1          
        101     102     123     1          
        122     123     144     1          
        143     144     165     1          
        164     165     186     1          
        185     186     207     1          
        206     207     228     1          
        227     228     249     1          
        248     249     270     1          
        269     270     291     1          
        290     291     312     1          
        311     312     333     1          
        332     333     354     1          
        353     354     375     1          
        374     375     396     1          
        395     396     417     1          
        416     417     438     1          
        18      40      39      1          
        39      61      60      1          
        60      82      81      1          
        81      103     102     1          
        102     124     123     1          
        123     145     144     1          
        144     166     165     1          
        165     187     186     1          
        186     208     207     1          
        207     229     228     1          
        228     250     249     1          
        249     271     270     1          
        270     292     291     1          
        291     313     312     1          
        312     334     333     1          
        333     355     354     1          
        354     376     375     1          
        375     397     396     1          
        396     418     417     1          
        417     439     438     1          
        18      19      40      1          
        39      40      61      1          
        60      61      82      1          
        81      82      103     1          
        102     103     124     1          
        123     124     145     1          
        144     145     166     1          
        165     166     187     1          
        186     187     208     1          
        207     208     229     1          
        228     229     250     1          
        249     250     271     1          
        270     271     292     1          
        291     292     313     1          
        312     313     334     1          
        333     334     355     1          
        354     355     376     1          
        375     376     397     1          
        396     397     418     1          
